"Table 8.3. Revenue and Expense Statistics for Major U.S. Investor-Owned Electric Utilities,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2014 through 2024  (Million Dollars),,,,,,
 ,,,,,,
Description,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Utility Operating Revenues,298430.0,282695.0,282499.0,286501.0,293868.0,293000.0
......Electric Utility,271832.0,260121.0,261047.0,263265.0,268421.0,266876.0
......Other Utility,26598.0,22574.0,21451.0,23235.0,25447.0,26124.0
Utility Operating Expenses,258936.0,242728.0,239037.0,240041.0,253944.0,250136.0
......Electric Utility,240643.0,228366.0,226457.0,226110.0,238526.0,234892.0
............Operation,165989.0,149939.0,145077.0,142000.0,163479.0,157265.0
..................Production,123366.0,107201.0,100852.0,98859.0,104185.0,99518.0
........................Cost of Fuel,42545.0,34711.0,32621.0,32165.0,33592.0,29614.0
........................Purchased Power,62066.0,52970.0,49962.0,49030.0,53060.0,50378.0
........................Other,18755.0,19521.0,18269.0,17664.0,17533.0,19526.0
..................Transmission,8902.0,9624.0,10447.0,10804.0,11387.0,11941.0
..................Distribution,4331.0,4406.0,4734.0,4358.0,4806.0,5218.0
..................Customer Accounts,5255.0,5184.0,5077.0,4789.0,4969.0,4978.0
..................Customer Service,6396.0,6445.0,6187.0,5961.0,6019.0,6156.0
..................Sales,208.0,201.0,205.0,213.0,203.0,204.0
..................Administrative and General,17532.0,16878.0,17575.0,17016.0,31911.0,29248.0
............Maintenance,16801.0,16392.0,16982.0,17996.0,17786.0,19898.0
............Depreciation,25919.0,26847.0,30097.0,30323.0,32125.0,34883.0
............Taxes and Other,31934.0,35188.0,34301.0,35791.0,25136.0,22846.0
......Other Utility,18293.0,14362.0,12579.0,13931.0,15418.0,15245.0
Net Utility Operating Income,39494.0,39968.0,43462.0,46460.0,39924.0,42864.0
 ,,,,,,
Description,2020.0,2021.0,2022.0,2023.0,2024.0,
Utility Operating Revenues,294756.0,329138.0,381129.0,378230.0,384741.0,
......Electric Utility,269869.0,299956.0,344355.0,343701.0,352516.0,
......Other Utility,24888.0,29181.0,36774.0,34529.0,32226.0,
Utility Operating Expenses,240802.0,271078.0,315491.0,307839.0,306372.0,
......Electric Utility,227084.0,253979.0,292247.0,287611.0,289892.0,
............Operation,144335.0,163952.0,196589.0,185924.0,179919.0,
..................Production,93505.0,110775.0,140287.0,126857.0,120333.0,
........................Cost of Fuel,25856.0,34771.0,49486.0,36229.0,32871.0,
........................Purchased Power,50407.0,61627.0,80032.0,67897.0,63763.0,
........................Other,17242.0,14377.0,10768.0,22731.0,23699.0,
..................Transmission,12949.0,15310.0,15872.0,15746.0,17863.0,
..................Distribution,5480.0,5659.0,5973.0,6402.0,6740.0,
..................Customer Accounts,5775.0,5249.0,5658.0,6607.0,7099.0,
..................Customer Service,5868.0,6192.0,6659.0,6953.0,7462.0,
..................Sales,211.0,215.0,255.0,217.0,212.0,
..................Administrative and General,20546.0,20553.0,21886.0,23142.0,20211.0,
............Maintenance,20030.0,20875.0,21834.0,21570.0,23128.0,
............Depreciation,38208.0,39666.0,42104.0,44693.0,47887.0,
............Taxes and Other,24510.0,29485.0,31720.0,35424.0,38958.0,
......Other Utility,13718.0,17100.0,23244.0,20228.0,16480.0,
Net Utility Operating Income,53954.0,58060.0,65638.0,70391.0,78369.0,
"Notes:      Missing or erroneous respondent data may result in slight imbalances in some of the expense account subtotals.
                Total may not equal sum of components due to independent rounding.
Sources:  Federal Energy Regulatory Commission, FERC Form 1, ""Annual Report of Major Electric Utilities, Licensees and Others via Ventyx Global Energy Velocity Suite.",,,,,,
