Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,USA,CAISO,US-CAL-CISO,235.82,314.64,45.09,34.25,caiso.com,false,
2021-01-01 01:00:00,USA,CAISO,US-CAL-CISO,247.21,327.85,42.49,32.26,caiso.com,false,
2021-01-01 02:00:00,USA,CAISO,US-CAL-CISO,249.09,329.56,42.4,32.01,caiso.com,false,
2021-01-01 03:00:00,USA,CAISO,US-CAL-CISO,258.16,340.35,40.65,29.81,caiso.com,false,
2021-01-01 04:00:00,USA,CAISO,US-CAL-CISO,262.29,344.58,40.35,29.3,caiso.com,false,
2021-01-01 05:00:00,USA,CAISO,US-CAL-CISO,264.3,346.81,40.13,28.64,caiso.com,false,
2021-01-01 06:00:00,USA,CAISO,US-CAL-CISO,262.73,344.43,40.9,28.83,caiso.com,false,
2021-01-01 07:00:00,USA,CAISO,US-CAL-CISO,255.94,335.88,42.72,30.07,caiso.com,false,
2021-01-01 08:00:00,USA,CAISO,US-CAL-CISO,255.48,334.92,43.15,30.24,caiso.com,false,
2021-01-01 09:00:00,USA,CAISO,US-CAL-CISO,247.25,325.5,44.73,31.47,caiso.com,false,
2021-01-01 10:00:00,USA,CAISO,US-CAL-CISO,241.73,319.05,45.89,32.32,caiso.com,false,
2021-01-01 11:00:00,USA,CAISO,US-CAL-CISO,243.16,320.94,45.6,31.76,caiso.com,false,
2021-01-01 12:00:00,USA,CAISO,US-CAL-CISO,243.33,321.47,45.36,31.82,caiso.com,false,
2021-01-01 13:00:00,USA,CAISO,US-CAL-CISO,246.19,324.62,44.96,31.66,caiso.com,false,
2021-01-01 14:00:00,USA,CAISO,US-CAL-CISO,250.15,329.34,44.19,31.12,caiso.com,false,
2021-01-01 15:00:00,USA,CAISO,US-CAL-CISO,230.46,306.26,48.33,35.86,caiso.com,false,
2021-01-01 16:00:00,USA,CAISO,US-CAL-CISO,165.48,228.93,62.97,52.21,caiso.com,false,
2021-01-01 17:00:00,USA,CAISO,US-CAL-CISO,130.48,187.23,70.78,61.15,caiso.com,false,
2021-01-01 18:00:00,USA,CAISO,US-CAL-CISO,115.27,168.75,74.62,64.62,caiso.com,false,
2021-01-01 19:00:00,USA,CAISO,US-CAL-CISO,112.92,166.18,75.18,65.16,caiso.com,false,
2021-01-01 20:00:00,USA,CAISO,US-CAL-CISO,115.16,168.92,74.73,64.2,caiso.com,false,
2021-01-01 21:00:00,USA,CAISO,US-CAL-CISO,118.82,173.37,73.88,63.17,caiso.com,false,
2021-01-01 22:00:00,USA,CAISO,US-CAL-CISO,134.7,192.31,70.23,59.22,caiso.com,false,
2021-01-01 23:00:00,USA,CAISO,US-CAL-CISO,175.23,240.88,60.84,49.16,caiso.com,false,
2021-01-02 00:00:00,USA,CAISO,US-CAL-CISO,240.51,318.83,45.77,33.22,caiso.com,false,
2021-01-02 01:00:00,USA,CAISO,US-CAL-CISO,261.19,344.3,40.23,28.84,caiso.com,false,
2021-01-02 02:00:00,USA,CAISO,US-CAL-CISO,265.12,348.58,39.57,28.37,caiso.com,false,
2021-01-02 03:00:00,USA,CAISO,US-CAL-CISO,265.3,348.44,39.83,28.43,caiso.com,false,
2021-01-02 04:00:00,USA,CAISO,US-CAL-CISO,267.83,351.27,39.49,27.99,caiso.com,false,
2021-01-02 05:00:00,USA,CAISO,US-CAL-CISO,270.53,354.15,39.14,27.2,caiso.com,false,
2021-01-02 06:00:00,USA,CAISO,US-CAL-CISO,269.68,353.44,39.26,26.82,caiso.com,false,
2021-01-02 07:00:00,USA,CAISO,US-CAL-CISO,259.96,342.09,41.32,28.08,caiso.com,false,
2021-01-02 08:00:00,USA,CAISO,US-CAL-CISO,251.83,332.6,42.9,29.35,caiso.com,false,
2021-01-02 09:00:00,USA,CAISO,US-CAL-CISO,245.53,325.66,44.04,30.08,caiso.com,false,
2021-01-02 10:00:00,USA,CAISO,US-CAL-CISO,234.67,311.78,47.1,32.75,caiso.com,false,
2021-01-02 11:00:00,USA,CAISO,US-CAL-CISO,238.61,316.19,46.58,32.03,caiso.com,false,
2021-01-02 12:00:00,USA,CAISO,US-CAL-CISO,234.68,310.94,47.64,33.46,caiso.com,false,
2021-01-02 13:00:00,USA,CAISO,US-CAL-CISO,228.4,302.56,49.31,35.73,caiso.com,false,
2021-01-02 14:00:00,USA,CAISO,US-CAL-CISO,225.27,298.59,49.93,36.91,caiso.com,false,
2021-01-02 15:00:00,USA,CAISO,US-CAL-CISO,211.58,281.88,53.26,40.86,caiso.com,false,
2021-01-02 16:00:00,USA,CAISO,US-CAL-CISO,173.13,235.98,61.92,50.35,caiso.com,false,
2021-01-02 17:00:00,USA,CAISO,US-CAL-CISO,140.12,195.9,69.89,59.07,caiso.com,false,
2021-01-02 18:00:00,USA,CAISO,US-CAL-CISO,129.24,183.08,72.2,61.77,caiso.com,false,
2021-01-02 19:00:00,USA,CAISO,US-CAL-CISO,123.04,175.58,73.53,63.02,caiso.com,false,
