Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,CAISO,US-CAL-CISO,194.50,256.45,58.56,43.46,caiso.com,false,
2023-01-02 00:00:00,USA,CAISO,US-CAL-CISO,221.15,290.48,51.66,37.09,caiso.com,false,
2023-01-03 00:00:00,USA,CAISO,US-CAL-CISO,230.68,306.07,46.60,34.26,caiso.com,false,
2023-01-04 00:00:00,USA,CAISO,US-CAL-CISO,251.19,328.59,43.34,31.40,caiso.com,false,
2023-01-05 00:00:00,USA,CAISO,US-CAL-CISO,264.02,344.58,40.18,32.34,caiso.com,false,
2023-01-06 00:00:00,USA,CAISO,US-CAL-CISO,231.58,305.80,47.48,40.40,caiso.com,false,
2023-01-07 00:00:00,USA,CAISO,US-CAL-CISO,243.14,320.69,44.84,34.14,caiso.com,false,
2023-01-08 00:00:00,USA,CAISO,US-CAL-CISO,220.18,291.39,51.03,37.53,caiso.com,false,
2023-01-09 00:00:00,USA,CAISO,US-CAL-CISO,237.22,311.91,46.34,33.65,caiso.com,false,
2023-01-10 00:00:00,USA,CAISO,US-CAL-CISO,213.22,282.48,51.65,39.68,caiso.com,false,
2023-01-11 00:00:00,USA,CAISO,US-CAL-CISO,231.17,302.85,48.58,36.04,caiso.com,false,
2023-01-12 00:00:00,USA,CAISO,US-CAL-CISO,227.11,298.65,49.48,36.81,caiso.com,false,
2023-01-13 00:00:00,USA,CAISO,US-CAL-CISO,229.33,300.45,49.80,36.42,caiso.com,false,
2023-01-14 00:00:00,USA,CAISO,US-CAL-CISO,230.13,299.41,50.50,36.29,caiso.com,false,
2023-01-15 00:00:00,USA,CAISO,US-CAL-CISO,213.71,281.68,52.73,38.99,caiso.com,false,
2023-01-16 00:00:00,USA,CAISO,US-CAL-CISO,208.82,276.60,53.20,40.83,caiso.com,false,
2023-01-17 00:00:00,USA,CAISO,US-CAL-CISO,198.80,263.94,55.54,43.43,caiso.com,false,
2023-01-18 00:00:00,USA,CAISO,US-CAL-CISO,221.95,291.70,50.80,38.43,caiso.com,false,
2023-01-19 00:00:00,USA,CAISO,US-CAL-CISO,224.59,295.22,50.07,37.75,caiso.com,false,
