Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,324.08,421.48,21.12,0.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 01:00:00,USA,Florida Power and Light Company,US-FLA-FPL,314.82,410.96,22.32,0.04,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 02:00:00,USA,Florida Power and Light Company,US-FLA-FPL,305.07,400.04,23.61,0.02,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 03:00:00,USA,Florida Power and Light Company,US-FLA-FPL,294.97,386.64,26.58,0.06,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 04:00:00,USA,Florida Power and Light Company,US-FLA-FPL,283.5,372.31,29.27,0.02,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 05:00:00,USA,Florida Power and Light Company,US-FLA-FPL,279.34,365.38,31.91,0.01,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 06:00:00,USA,Florida Power and Light Company,US-FLA-FPL,278.87,363.3,33.31,0.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 07:00:00,USA,Florida Power and Light Company,US-FLA-FPL,279.09,362.45,34.22,0.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 08:00:00,USA,Florida Power and Light Company,US-FLA-FPL,278.81,361.94,34.42,0.01,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 09:00:00,USA,Florida Power and Light Company,US-FLA-FPL,278.44,362.15,33.88,0.01,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 10:00:00,USA,Florida Power and Light Company,US-FLA-FPL,270.06,351.16,36.3,0.01,eia.gov,false,
2023-01-01 11:00:00,USA,Florida Power and Light Company,US-FLA-FPL,271.99,353.18,36.17,0.01,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 12:00:00,USA,Florida Power and Light Company,US-FLA-FPL,261.07,340.13,38.82,6.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 13:00:00,USA,Florida Power and Light Company,US-FLA-FPL,238.77,313.66,43.7,14.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 14:00:00,USA,Florida Power and Light Company,US-FLA-FPL,228.63,301.93,45.72,19.34,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 15:00:00,USA,Florida Power and Light Company,US-FLA-FPL,228.82,302.61,45.51,21.14,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 16:00:00,USA,Florida Power and Light Company,US-FLA-FPL,229.76,304.29,44.85,21.39,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 17:00:00,USA,Florida Power and Light Company,US-FLA-FPL,232.98,308.82,43.6,20.92,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 18:00:00,USA,Florida Power and Light Company,US-FLA-FPL,234.56,310.6,43.35,20.51,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 19:00:00,USA,Florida Power and Light Company,US-FLA-FPL,240.84,317.93,42.21,19.42,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 20:00:00,USA,Florida Power and Light Company,US-FLA-FPL,253.2,333.23,39.12,16.46,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 21:00:00,USA,Florida Power and Light Company,US-FLA-FPL,281.46,368.04,32.25,9.86,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 22:00:00,USA,Florida Power and Light Company,US-FLA-FPL,305.38,396.82,26.98,3.69,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 23:00:00,USA,Florida Power and Light Company,US-FLA-FPL,311.73,405.06,24.75,0.2,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,314.06,407.59,24.62,0.15,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 01:00:00,USA,Florida Power and Light Company,US-FLA-FPL,306.98,399.25,25.76,0.12,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 02:00:00,USA,Florida Power and Light Company,US-FLA-FPL,303.27,394.17,27.02,0.09,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 03:00:00,USA,Florida Power and Light Company,US-FLA-FPL,290.97,377.76,30.79,0.03,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 04:00:00,USA,Florida Power and Light Company,US-FLA-FPL,277.53,359.91,34.79,0.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 05:00:00,USA,Florida Power and Light Company,US-FLA-FPL,271.75,349.84,38.82,0.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 06:00:00,USA,Florida Power and Light Company,US-FLA-FPL,265.5,340.77,41.42,0.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-02 07:00:00,USA,Florida Power and Light Company,US-FLA-FPL,260.73,333.96,43.32,0.0,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
