Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method,year
2021-01-01 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,305.15,395.16,27.95,3.4,eia.gov,False,,2021
2021-01-02 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,306.59,397.01,27.52,2.47,eia.gov,False,,2021
2021-01-03 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,290.14,375.94,31.74,2.7,eia.gov,False,,2021
2021-01-04 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,285.47,368.85,34.25,4.58,eia.gov,False,,2021
2021-01-05 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,291.26,374.72,34.13,4.85,eia.gov,False,,2021
2021-01-06 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,289.75,373.92,33.53,4.61,eia.gov,False,,2021
2021-01-07 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,288.18,373.89,31.82,2.84,eia.gov,False,,2021
2021-01-08 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,280.7,365.24,32.93,2.96,eia.gov,False,,2021
2021-01-09 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,288.3,372.67,32.99,3.35,eia.gov,False,,2021
2021-01-10 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,292.31,379.64,30.41,4.04,eia.gov,False,,2021
2021-01-11 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,292.12,377.96,31.57,3.2,eia.gov,False,,2021
2021-01-12 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,289.85,375.48,31.54,0.95,Electricity Maps Estimation; eia.gov,False,,2021
2021-01-13 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,302.2,389.76,29.62,1.23,eia.gov,False,,2021
2021-01-14 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,309.6,399.26,28.0,4.09,eia.gov,False,,2021
2021-01-15 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,300.25,387.43,30.28,3.78,eia.gov,False,,2021
2021-01-16 00:00:00,USA,Florida Power and Light Company,US-FLA-FPL,285.24,367.75,34.7,4.52,eia.gov,False,,2021
