Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method,year,frequency,region
2021-01-01 00:00:00,USA,New York ISO,US-NY-NYIS,163.7,220.06,62.24,32.6,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-02 00:00:00,USA,New York ISO,US-NY-NYIS,158.17,213.16,63.46,33.74,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-03 00:00:00,USA,New York ISO,US-NY-NYIS,169.13,227.26,60.59,31.49,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-04 00:00:00,USA,New York ISO,US-NY-NYIS,180.19,241.12,57.96,30.17,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-05 00:00:00,USA,New York ISO,US-NY-NYIS,186.53,248.47,56.86,29.36,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-06 00:00:00,USA,New York ISO,US-NY-NYIS,182.89,243.75,57.87,30.05,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-07 00:00:00,USA,New York ISO,US-NY-NYIS,178.68,238.16,59.03,31.04,Electricity Maps Estimation; nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-08 00:00:00,USA,New York ISO,US-NY-NYIS,184.28,245.49,57.45,30.08,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-09 00:00:00,USA,New York ISO,US-NY-NYIS,175.6,233.96,60.01,31.46,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-10 00:00:00,USA,New York ISO,US-NY-NYIS,177.61,235.84,59.9,29.6,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-11 00:00:00,USA,New York ISO,US-NY-NYIS,187.49,248.31,57.46,29.36,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-12 00:00:00,USA,New York ISO,US-NY-NYIS,185.67,246.51,57.54,30.11,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-13 00:00:00,USA,New York ISO,US-NY-NYIS,181.02,240.88,58.54,30.83,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-14 00:00:00,USA,New York ISO,US-NY-NYIS,182.21,242.78,57.98,30.38,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-15 00:00:00,USA,New York ISO,US-NY-NYIS,172.64,230.96,60.06,32.07,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-16 00:00:00,USA,New York ISO,US-NY-NYIS,165.94,222.86,61.56,32.82,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-17 00:00:00,USA,New York ISO,US-NY-NYIS,159.85,213.83,63.67,33.63,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-18 00:00:00,USA,New York ISO,US-NY-NYIS,167.82,224.4,61.83,33.09,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-19 00:00:00,USA,New York ISO,US-NY-NYIS,176.27,233.75,60.52,31.9,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-20 00:00:00,USA,New York ISO,US-NY-NYIS,178.8,236.92,59.94,31.77,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-21 00:00:00,USA,New York ISO,US-NY-NYIS,177.14,234.82,60.05,32.07,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-22 00:00:00,USA,New York ISO,US-NY-NYIS,167.38,222.91,62.22,33.12,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-23 00:00:00,USA,New York ISO,US-NY-NYIS,164.44,219.2,63.0,33.58,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-24 00:00:00,USA,New York ISO,US-NY-NYIS,181.64,239.58,59.79,31.34,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-25 00:00:00,USA,New York ISO,US-NY-NYIS,195.79,257.11,56.58,28.32,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-26 00:00:00,USA,New York ISO,US-NY-NYIS,196.42,257.22,56.64,27.49,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-27 00:00:00,USA,New York ISO,US-NY-NYIS,201.05,264.18,55.08,27.63,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-28 00:00:00,USA,New York ISO,US-NY-NYIS,196.82,258.26,56.43,28.8,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-29 00:00:00,USA,New York ISO,US-NY-NYIS,201.48,261.66,57.0,28.82,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-30 00:00:00,USA,New York ISO,US-NY-NYIS,184.36,241.67,60.11,29.32,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-01-31 00:00:00,USA,New York ISO,US-NY-NYIS,181.87,239.29,60.04,29.51,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-01 00:00:00,USA,New York ISO,US-NY-NYIS,201.05,262.83,55.5,27.17,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-02 00:00:00,USA,New York ISO,US-NY-NYIS,190.92,249.85,58.31,29.35,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-03 00:00:00,USA,New York ISO,US-NY-NYIS,195.01,253.47,58.41,29.55,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-04 00:00:00,USA,New York ISO,US-NY-NYIS,194.05,252.8,58.38,28.98,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-05 00:00:00,USA,New York ISO,US-NY-NYIS,191.92,249.79,58.75,29.12,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-06 00:00:00,USA,New York ISO,US-NY-NYIS,179.36,235.0,61.26,32.95,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-07 00:00:00,USA,New York ISO,US-NY-NYIS,189.69,246.41,60.16,30.2,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-08 00:00:00,USA,New York ISO,US-NY-NYIS,215.19,278.17,54.12,26.17,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-09 00:00:00,USA,New York ISO,US-NY-NYIS,225.11,289.35,52.71,24.23,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-10 00:00:00,USA,New York ISO,US-NY-NYIS,223.33,287.52,52.72,23.84,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-11 00:00:00,USA,New York ISO,US-NY-NYIS,217.21,281.01,53.5,25.8,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-12 00:00:00,USA,New York ISO,US-NY-NYIS,225.3,289.49,52.6,24.39,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-13 00:00:00,USA,New York ISO,US-NY-NYIS,218.64,280.61,54.61,25.31,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-14 00:00:00,USA,New York ISO,US-NY-NYIS,221.67,283.73,54.33,24.12,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-15 00:00:00,USA,New York ISO,US-NY-NYIS,218.77,282.04,53.7,24.4,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-16 00:00:00,USA,New York ISO,US-NY-NYIS,211.32,272.4,55.56,25.83,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-17 00:00:00,USA,New York ISO,US-NY-NYIS,209.06,271.98,54.82,26.14,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-18 00:00:00,USA,New York ISO,US-NY-NYIS,202.67,265.46,55.41,27.12,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-19 00:00:00,USA,New York ISO,US-NY-NYIS,201.05,262.59,56.21,27.93,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-20 00:00:00,USA,New York ISO,US-NY-NYIS,200.18,258.47,58.48,28.52,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-21 00:00:00,USA,New York ISO,US-NY-NYIS,190.05,246.64,60.43,30.05,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-22 00:00:00,USA,New York ISO,US-NY-NYIS,191.21,248.5,59.36,30.15,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-23 00:00:00,USA,New York ISO,US-NY-NYIS,184.3,240.0,60.93,30.59,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-24 00:00:00,USA,New York ISO,US-NY-NYIS,177.09,233.92,60.57,31.09,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-25 00:00:00,USA,New York ISO,US-NY-NYIS,167.55,223.06,62.2,32.68,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-26 00:00:00,USA,New York ISO,US-NY-NYIS,185.69,245.23,58.52,29.24,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-27 00:00:00,USA,New York ISO,US-NY-NYIS,179.1,236.42,59.57,28.52,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-02-28 00:00:00,USA,New York ISO,US-NY-NYIS,194.38,254.53,56.56,23.45,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-03-01 00:00:00,USA,New York ISO,US-NY-NYIS,190.83,250.33,57.06,26.32,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-03-02 00:00:00,USA,New York ISO,US-NY-NYIS,193.91,254.69,56.47,28.58,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-03-03 00:00:00,USA,New York ISO,US-NY-NYIS,193.49,254.84,56.17,27.09,nyiso.com,False,,2021,daily,US-NY-NYIS
2021-03-04 00:00:00,USA,New York ISO,US-NY-NYIS,193.28,255.49,55.77,27.62,nyiso.com,False,,2021,daily,US-NY-NYIS
